Scaffold,start,end,dir,feature,CGI_ID,type,ID,Description
scaffold43520,55004,65048,1,gene,CGI_10010712,transcript,EKC18876,Zinc finger Ran-binding domain-containing protein 3 
scaffold43520,70420,76306,1,gene,CGI_10010713,transcript,EKC18877,Metastasis-associated protein MTA1 
scaffold43520,78863,95530,-1,gene,CGI_10010714,transcript,EKC18878,Eukaryotic initiation factor 4A-III 
scaffold43520,99427,123981,1,gene,CGI_10010716,transcript,EKC18879,HHIP-like protein 2 
scaffold43520,126473,139605,1,gene,CGI_10010717,transcript,EKC18880,Cytoglobin-1 
scaffold43520,142772,148254,-1,gene,CGI_10010718,transcript,EKC18881,DnaJ-like protein subfamily C member 4 
scaffold43520,152169,152579,1,gene,CGI_10010719,transcript,EKC18882,
scaffold43520,155129,180237,1,gene,CGI_10010720,transcript,EKC18883,HEAT repeat-containing protein 5B 
scaffold43520,184106,230161,-1,gene,CGI_10010721,transcript,EKC18884,Lysosomal-trafficking regulator 
scaffold43520,239504,245269,-1,gene,CGI_10010723,transcript,EKC18885,
scaffold43520,246576,249257,-1,gene,CGI_10010724,transcript,EKC18886,Alpha-methylacyl-CoA racemase 
scaffold43520,260878,269535,-1,gene,CGI_10010725,transcript,EKC18887,CREB-regulated transcription coactivator 1 
scaffold43630,16349,30979,-1,gene,CGI_10011517,transcript,EKC18676,UPF0661 TPR repeat-containing protein C16D10.01c 
scaffold43630,31325,31957,1,gene,CGI_10011520,transcript,EKC18677,"PRELI domain-containing protein 1, mitochondrial "
scaffold43630,34363,48378,1,gene,CGI_10011521,transcript,EKC18678,Peptidylprolyl isomerase domain and WD repeat-containing protein 1 
scaffold43630,58459,78169,1,gene,CGI_10011522,transcript,EKC18679,Microtubule-associated serine/threonine-protein kinase 2 
scaffold43630,83014,97279,1,gene,CGI_10011523,transcript,EKC18680,Microtubule-associated serine/threonine-protein kinase 4 
scaffold43630,100142,110787,-1,gene,CGI_10011524,transcript,EKC18681,Protocadherin Fat 4 
scaffold43630,124084,143725,1,gene,CGI_10011525,transcript,EKC18682,Cadherin-86C 
scaffold43630,150048,167057,1,gene,CGI_10011526,transcript,EKC18683,Cadherin EGF LAG seven-pass G-type receptor 2 
scaffold43630,172610,245452,1,gene,CGI_10011528,transcript,EKC18684,Cadherin-23 
scaffold43630,271707,272908,-1,gene,CGI_10011530,transcript,EKC18685,
scaffold1379,18722,19036,-1,gene,CGI_10001624,transcript,EKC27713,
scaffold457,30038,30244,1,gene,CGI_10014526,transcript,EKC36614,
scaffold457,36149,55409,1,gene,CGI_10014527,transcript,EKC36615,Receptor-type tyrosine-protein phosphatase S 
scaffold457,77527,87964,1,gene,CGI_10014528,transcript,EKC36616,Multiple epidermal growth factor-like domains 10 
scaffold457,113896,119453,-1,gene,CGI_10014529,transcript,EKC36617,
scaffold457,140220,140655,1,gene,CGI_10014530,transcript,EKC36618,
scaffold457,140940,149664,1,gene,CGI_10014531,transcript,EKC36619,
scaffold457,177188,183802,-1,gene,CGI_10014532,transcript,EKC36620,Interferon-induced protein 44-like protein 
scaffold457,198505,201474,-1,gene,CGI_10014533,transcript,EKC36621,Interferon-induced protein 44-like protein 
scaffold457,213050,222173,-1,gene,CGI_10014534,transcript,EKC36622,Interferon-induced protein 44-like protein 
scaffold457,229299,229673,-1,gene,CGI_10014535,transcript,EKC36623,
scaffold457,237272,241485,-1,gene,CGI_10014536,transcript,EKC36624,Interferon-induced protein 44-like protein 
scaffold457,267077,275444,1,gene,CGI_10014537,transcript,EKC36625,Scavenger receptor class F member 2 
scaffold457,282995,289327,1,gene,CGI_10014538,transcript,EKC36626,Multiple epidermal growth factor-like domains 10 
scaffold457,289711,298900,-1,gene,CGI_10014539,transcript,EKC36627,Endoplasmic reticulum aminopeptidase 1 
scaffold457,299040,303323,-1,gene,CGI_10014540,transcript,EKC36628,
scaffold457,328867,362435,-1,gene,CGI_10014541,transcript,EKC36629,Myosin-Id 
scaffold457,365264,371451,-1,gene,CGI_10014542,transcript,EKC36630,
scaffold41466,21923,33174,1,gene,CGI_10005137,transcript,EKC20890,Multiple epidermal growth factor-like domains 10 
scaffold1562,3599,7155,-1,gene,CGI_10005772,transcript,EKC26536,
scaffold1562,7394,8900,-1,gene,CGI_10005773,transcript,EKC26537,
scaffold1562,48535,57920,-1,gene,CGI_10005774,transcript,EKC26538,Angiopoietin-2 
scaffold1562,63829,67250,1,gene,CGI_10005775,transcript,EKC26539,Protein disulfide-isomerase TMX3 
scaffold1562,73157,112953,-1,gene,CGI_10005776,transcript,EKC26540,Leucine-rich repeat-containing protein 16A 
scaffold1562,129952,130794,-1,gene,CGI_10005777,transcript,EKC26541,
scaffold41740,658,1119,-1,gene,CGI_10005581,transcript,EKC20709,Tripartite motif-containing protein 2 
scaffold41740,4661,5608,-1,gene,CGI_10005582,transcript,EKC20710,Tripartite motif-containing protein 3 
scaffold41740,8589,10244,-1,gene,CGI_10005583,transcript,EKC20711,Tripartite motif-containing protein 3 
scaffold41740,21190,30083,-1,gene,CGI_10005584,transcript,EKC20712,Tripartite motif-containing protein 2 
scaffold41740,59974,80249,-1,gene,CGI_10005585,transcript,EKC20713,
scaffold41740,84312,91930,1,gene,CGI_10005586,transcript,EKC20714,"NACHT, LRR and PYD domains-containing protein 5 "
scaffold41740,113050,113205,-1,gene,CGI_10005587,transcript,EKC20715,
scaffold41740,117319,125321,1,gene,CGI_10005588,transcript,EKC20716,
scaffold41740,128935,130074,-1,gene,CGI_10005589,transcript,EKC20717,
C29994,2950,4999,-1,gene,CGI_10000585,transcript,EKC17557,U2 small nuclear ribonucleoprotein A 
scaffold36794,1583,1864,-1,gene,CGI_10002118,transcript,EKC22519,
scaffold36794,3731,8474,1,gene,CGI_10002119,transcript,EKC22520,
scaffold36794,37576,37872,1,gene,CGI_10002120,transcript,EKC22521,
scaffold900,6516,8519,-1,gene,CGI_10000861,transcript,EKC31956,
scaffold1111,6582,11729,-1,gene,CGI_10001238,transcript,EKC30131,
scaffold817,6900,18319,-1,gene,CGI_10008651,transcript,EKC32563,T-cell immunomodulatory protein 
scaffold817,22423,26141,-1,gene,CGI_10008652,transcript,EKC32564,Poly
scaffold817,36105,44004,-1,gene,CGI_10008653,transcript,EKC32565,Poly
scaffold817,47004,50153,-1,gene,CGI_10008654,transcript,EKC32566,
scaffold817,50165,50320,-1,gene,CGI_10008655,transcript,EKC32567,
scaffold817,50559,53902,-1,gene,CGI_10008656,transcript,EKC32568,
scaffold817,54160,69177,-1,gene,CGI_10008657,transcript,EKC32569,
scaffold817,70842,77028,-1,gene,CGI_10008658,transcript,EKC32570,Poly
scaffold817,78690,83777,-1,gene,CGI_10008659,transcript,EKC32571,Poly
scaffold817,87458,89766,1,gene,CGI_10008660,transcript,EKC32572,
scaffold817,109962,118201,1,gene,CGI_10008661,transcript,EKC32573,Vacuolar protein sorting-associated protein 35 
scaffold817,121715,124064,-1,gene,CGI_10008662,transcript,EKC32574,SYS1-like protein 
scaffold817,125259,134409,-1,gene,CGI_10008663,transcript,EKC32575,
scaffold817,136171,151005,1,gene,CGI_10008665,transcript,EKC32576,RING finger protein 31 
scaffold817,151164,154908,-1,gene,CGI_10008666,transcript,EKC32577,
scaffold1511,30937,37771,-1,gene,CGI_10007825,transcript,EKC26963,Apoptosis inhibitor IAP 
scaffold1511,82973,84694,-1,gene,CGI_10007826,transcript,EKC26964,Tripartite motif-containing protein 2 
scaffold1511,87394,93803,1,gene,CGI_10007827,transcript,EKC26965,Bone morphogenetic protein receptor type-1B 
scaffold1511,102665,113037,-1,gene,CGI_10007828,transcript,EKC26966,
scaffold43302,6372,24073,-1,gene,CGI_10009755,transcript,EKC19068,Down syndrome cell adhesion molecule 
scaffold43302,33380,38635,-1,gene,CGI_10009756,transcript,EKC19069,Protein TFG 
scaffold43302,39763,43662,1,gene,CGI_10009757,transcript,EKC19070,Monocarboxylate transporter 10 
scaffold43302,44692,96293,1,gene,CGI_10009758,transcript,EKC19071,RING finger protein 17 
scaffold43302,101816,102127,1,gene,CGI_10009761,transcript,EKC19072,
scaffold43302,106823,108791,1,gene,CGI_10009762,transcript,EKC19073,Baculoviral IAP repeat-containing protein 4 
scaffold43302,111366,118636,1,gene,CGI_10009763,transcript,EKC19074,Caspase-8 
scaffold43302,124040,127140,1,gene,CGI_10009764,transcript,EKC19075,BTB/POZ domain-containing protein 17 
scaffold43302,131942,133087,-1,gene,CGI_10009765,transcript,EKC19076,"Rhodopsin, GQ-coupled "
scaffold43302,137632,142078,-1,gene,CGI_10009766,transcript,EKC19077,
scaffold43302,162155,179789,-1,gene,CGI_10009767,transcript,EKC19078,Low-density lipoprotein receptor-related protein 1B 
scaffold43302,200524,200721,1,gene,CGI_10009768,transcript,EKC19079,
scaffold43302,200845,202269,1,gene,CGI_10009769,transcript,EKC19080,
scaffold43302,202323,202508,1,gene,CGI_10009770,transcript,EKC19081,
scaffold43302,202771,203043,1,gene,CGI_10009771,transcript,EKC19082,
scaffold445,1727,13095,-1,gene,CGI_10019421,transcript,EKC36765,Tumor suppressor p53-binding protein 1 
scaffold445,13218,22326,-1,gene,CGI_10019422,transcript,EKC36766,
scaffold445,27783,32892,-1,gene,CGI_10019424,transcript,EKC36767,
scaffold445,33144,33945,1,gene,CGI_10019425,transcript,EKC36768,Glutaredoxin-C6 
scaffold445,36759,56639,-1,gene,CGI_10019427,transcript,EKC36769,
scaffold445,68106,69305,-1,gene,CGI_10019428,transcript,EKC36770,
scaffold445,129095,151521,-1,gene,CGI_10019429,transcript,EKC36771,Ninein-like protein 
scaffold445,156446,162860,-1,gene,CGI_10019430,transcript,EKC36772,Galactosylceramide sulfotransferase 
scaffold445,165031,179035,-1,gene,CGI_10019432,transcript,EKC36773,
scaffold445,180901,184502,1,gene,CGI_10019433,transcript,EKC36774,CREB/ATF bZIP transcription factor 
scaffold445,186699,188387,-1,gene,CGI_10019434,transcript,EKC36775,
scaffold445,193059,213468,-1,gene,CGI_10019435,transcript,EKC36776,Kinesin-related protein 1 
scaffold445,218775,220541,1,gene,CGI_10019436,transcript,EKC36777,Histone H4 transcription factor 
scaffold445,223281,224963,1,gene,CGI_10019437,transcript,EKC36778,DNA repair protein RAD51-like protein 2 
scaffold445,227217,232455,1,gene,CGI_10019438,transcript,EKC36779,Trafficking protein particle complex subunit 6B 
scaffold445,249370,253942,1,gene,CGI_10019439,transcript,EKC36780,Sodium-dependent phosphate transport protein 2B 
scaffold445,260694,265220,1,gene,CGI_10019440,transcript,EKC36781,Sodium-dependent phosphate transport protein 2B 
scaffold445,273666,276752,1,gene,CGI_10019441,transcript,EKC36782,Sodium-dependent phosphate transport protein 2B 
scaffold445,279463,293927,-1,gene,CGI_10019442,transcript,EKC36783,2-aminoethylphosphonate--pyruvate transaminase 
scaffold445,294297,297463,1,gene,CGI_10019443,transcript,EKC36784,Proteasome subunit alpha type 
scaffold445,299978,341164,-1,gene,CGI_10019444,transcript,EKC36785,Transmembrane protein 63B 
scaffold445,343702,351268,1,gene,CGI_10019446,transcript,EKC36786,Serum response factor 
scaffold445,356824,371899,-1,gene,CGI_10019447,transcript,EKC36787,Glutaminyl-peptide cyclotransferase 
scaffold445,374378,376719,1,gene,CGI_10019448,transcript,EKC36788,"ATP synthase subunit alpha, mitochondrial "
scaffold445,414757,427578,-1,gene,CGI_10019449,transcript,EKC36789,LIM homeobox transcription factor 1-beta 
scaffold445,442699,449331,-1,gene,CGI_10019450,transcript,EKC36790,LIM homeobox transcription factor 1-beta 
scaffold445,525465,531531,-1,gene,CGI_10019451,transcript,EKC36791,Random slug protein 5 
scaffold445,531545,532274,1,gene,CGI_10019452,transcript,EKC36792,
scaffold445,534739,536160,-1,gene,CGI_10019453,transcript,EKC36793,
scaffold445,556469,573508,-1,gene,CGI_10019454,transcript,EKC36794,FAS-associated factor 2-B 
scaffold445,573783,578089,1,gene,CGI_10019456,transcript,EKC36795,Glutathione S-transferase A 
scaffold445,580185,583468,-1,gene,CGI_10019457,transcript,EKC36796,FAS-associated factor 2-B 
scaffold445,583525,589344,1,gene,CGI_10019458,transcript,EKC36797,
scaffold445,592368,601001,1,gene,CGI_10019459,transcript,EKC36798,TBC1 domain family member 19 
scaffold35982,5428,9163,-1,gene,CGI_10001711,transcript,EKC22688,
scaffold35982,14310,29218,-1,gene,CGI_10001712,transcript,EKC22689,
scaffold867,3265,13655,1,gene,CGI_10026210,transcript,EKC32224,
scaffold867,16992,18174,-1,gene,CGI_10026211,transcript,EKC32225,Low-density lipoprotein receptor-related protein 12 
scaffold867,44311,73250,-1,gene,CGI_10026212,transcript,EKC32226,
scaffold867,77225,83239,-1,gene,CGI_10026213,transcript,EKC32227,
scaffold867,96068,101065,-1,gene,CGI_10026214,transcript,EKC32228,DnaJ-like protein subfamily A member 1 
scaffold867,253182,264678,-1,gene,CGI_10026215,transcript,EKC32229,
scaffold867,285571,286149,-1,gene,CGI_10026217,transcript,EKC32230,
scaffold867,290200,299286,1,gene,CGI_10026218,transcript,EKC32231,Acidic fibroblast growth factor intracellular-binding protein 
scaffold867,301136,305641,1,gene,CGI_10026219,transcript,EKC32232,
scaffold867,307445,310863,-1,gene,CGI_10026220,transcript,EKC32233,XK-related protein 6 
scaffold867,317704,318402,1,gene,CGI_10026221,transcript,EKC32234,
scaffold867,326393,330464,1,gene,CGI_10026222,transcript,EKC32235,
scaffold867,331754,354904,1,gene,CGI_10026223,transcript,EKC32236,Small conductance calcium-activated potassium channel protein 
scaffold867,358684,363633,-1,gene,CGI_10026225,transcript,EKC32237,Putative tyrosinase-like protein tyr-3 
scaffold867,368921,382530,-1,gene,CGI_10026226,transcript,EKC32238,Putative tyrosinase-like protein tyr-3 
scaffold867,384783,388438,-1,gene,CGI_10026227,transcript,EKC32239,Putative tyrosinase-like protein tyr-3 
scaffold867,391700,393063,1,gene,CGI_10026228,transcript,EKC32240,Apolipoprotein D 
scaffold867,403623,404843,1,gene,CGI_10026229,transcript,EKC32241,Apolipoprotein D 
scaffold867,409873,443119,-1,gene,CGI_10026230,transcript,EKC32242,Putative tyrosinase-like protein tyr-1 
scaffold867,444299,471975,1,gene,CGI_10026231,transcript,EKC32243,
scaffold867,490506,500925,-1,gene,CGI_10026232,transcript,EKC32244,
scaffold867,517385,523123,-1,gene,CGI_10026233,transcript,EKC32245,
scaffold867,534657,535004,1,gene,CGI_10026234,transcript,EKC32246,
scaffold867,624327,637945,1,gene,CGI_10026235,transcript,EKC32247,Low affinity immunoglobulin epsilon Fc receptor 
scaffold867,687928,689061,-1,gene,CGI_10026236,transcript,EKC32248,Thyrotropin-releasing hormone receptor 
scaffold867,692075,694201,-1,gene,CGI_10026237,transcript,EKC32249,
scaffold867,701475,703452,1,gene,CGI_10026238,transcript,EKC32250,Caspase-2 
scaffold867,711454,714684,-1,gene,CGI_10026239,transcript,EKC32251,Ornithine decarboxylase antizyme 1 
scaffold867,759170,778128,1,gene,CGI_10026240,transcript,EKC32252,Blastula protease 10 
scaffold867,875240,884266,-1,gene,CGI_10026241,transcript,EKC32253,DNA ligase 
scaffold867,898407,906644,1,gene,CGI_10026244,transcript,EKC32254,
scaffold867,912418,918718,-1,gene,CGI_10026245,transcript,EKC32255,UNC93-like protein MFSD11 
scaffold867,922596,923240,1,gene,CGI_10026246,transcript,EKC32256,"Splicing factor, arginine/serine-rich 2 "
scaffold867,953403,961880,-1,gene,CGI_10026247,transcript,EKC32257,Sorting nexin-19 
scaffold867,966697,968773,-1,gene,CGI_10026248,transcript,EKC32258,Reticulocyte-binding protein 2-like protein a 
scaffold867,968872,976070,-1,gene,CGI_10026249,transcript,EKC32259,Scaffold attachment factor B2 
scaffold867,977842,978039,-1,gene,CGI_10026250,transcript,EKC32260,
scaffold867,978298,981247,-1,gene,CGI_10026251,transcript,EKC32261,
scaffold867,983538,995351,-1,gene,CGI_10026252,transcript,EKC32262,Scaffold attachment factor B1 
scaffold867,995555,1003422,1,gene,CGI_10026253,transcript,EKC32263,
scaffold867,1005633,1007784,-1,gene,CGI_10026254,transcript,EKC32264,Tektin-4 
scaffold867,1010631,1015173,-1,gene,CGI_10026255,transcript,EKC32265,Forkhead box protein K1 
scaffold867,1027363,1030718,1,gene,CGI_10026256,transcript,EKC32266,WD repeat-containing protein 16 
scaffold867,1037240,1055522,1,gene,CGI_10026258,transcript,EKC32267,Phosphatidylinositol-glycan biosynthesis class X protein 
scaffold867,1057405,1070089,-1,gene,CGI_10026260,transcript,EKC32268,
scaffold867,1080718,1089561,1,gene,CGI_10026261,transcript,EKC32269,Xaa-Pro aminopeptidase 1 
scaffold867,1122368,1136269,-1,gene,CGI_10026263,transcript,EKC32270,Xaa-Pro aminopeptidase 1 
scaffold867,1139043,1141200,-1,gene,CGI_10026264,transcript,EKC32271,
scaffold867,1153156,1158719,1,gene,CGI_10026265,transcript,EKC32272,Glutathione S-transferase P 1 
scaffold48,28624,42835,-1,gene,CGI_10023879,transcript,EKC42659,
scaffold48,50793,50969,1,gene,CGI_10023880,transcript,EKC42660,
scaffold48,76321,76581,1,gene,CGI_10023881,transcript,EKC42661,
scaffold48,86919,93794,1,gene,CGI_10023882,transcript,EKC42662,Cytochrome P450 4F22 
scaffold48,107606,114677,1,gene,CGI_10023883,transcript,EKC42663,
scaffold48,119583,124103,1,gene,CGI_10023884,transcript,EKC42664,
scaffold48,124474,140752,1,gene,CGI_10023885,transcript,EKC42665,
scaffold48,200273,212906,1,gene,CGI_10023886,transcript,EKC42666,Hexokinase type 2 
scaffold48,225006,227063,1,gene,CGI_10023887,transcript,EKC42667,"Transmembrane protease, serine 6 "
scaffold48,231559,233360,1,gene,CGI_10023888,transcript,EKC42668,
scaffold48,235143,237024,1,gene,CGI_10023889,transcript,EKC42669,Heavy metal-binding protein HIP 
scaffold48,242671,244575,-1,gene,CGI_10023890,transcript,EKC42670,Tripartite motif-containing protein 45 
scaffold48,269582,278599,-1,gene,CGI_10023891,transcript,EKC42671,Cell division protein kinase 7 
scaffold48,292377,293573,-1,gene,CGI_10023892,transcript,EKC42672,
scaffold48,293800,310317,1,gene,CGI_10023893,transcript,EKC42673,A-kinase anchor protein 7 isoform gamma 
scaffold48,337897,342417,-1,gene,CGI_10023894,transcript,EKC42674,Fibropellin-1 
scaffold48,372542,377149,-1,gene,CGI_10023896,transcript,EKC42675,Ribonuclease P protein subunit p20 
scaffold48,380506,412698,-1,gene,CGI_10023897,transcript,EKC42676,Delta-like protein 
scaffold48,417028,444414,-1,gene,CGI_10023898,transcript,EKC42677,Calmodulin 
scaffold48,455512,457713,1,gene,CGI_10023899,transcript,EKC42678,Mitochondrial uncoupling protein 2 
scaffold48,459232,460948,-1,gene,CGI_10023900,transcript,EKC42679,
scaffold48,461351,464029,1,gene,CGI_10023901,transcript,EKC42680,EF-hand calcium-binding domain-containing protein 2 
scaffold48,468762,492575,-1,gene,CGI_10023902,transcript,EKC42681,Ras guanyl-releasing protein 3 
scaffold48,507497,507791,-1,gene,CGI_10023903,transcript,EKC42682,
scaffold48,516983,523764,1,gene,CGI_10023904,transcript,EKC42683,Rho GTPase-activating protein 11A 
scaffold48,526533,527619,-1,gene,CGI_10023905,transcript,EKC42684,AP-2 complex subunit sigma 
scaffold48,529087,543822,1,gene,CGI_10023906,transcript,EKC42685,DNA-directed RNA polymerases I and III subunit RPAC1 
scaffold48,561849,585263,1,gene,CGI_10023907,transcript,EKC42686,Tyrosine-protein kinase-like 7 
scaffold48,589429,602421,1,gene,CGI_10023908,transcript,EKC42687,Katanin p60 ATPase-containing subunit A-like 2 
scaffold48,604265,605990,-1,gene,CGI_10023909,transcript,EKC42688,Ankyrin repeat family A protein 2 
scaffold48,612434,615264,1,gene,CGI_10023910,transcript,EKC42689,
scaffold48,617728,656748,1,gene,CGI_10023911,transcript,EKC42690,OTU domain-containing protein 6B 
scaffold48,656821,666863,1,gene,CGI_10023913,transcript,EKC42691,
scaffold48,667705,673576,-1,gene,CGI_10023914,transcript,EKC42692,JmjC domain-containing protein 5 
scaffold48,677118,686975,-1,gene,CGI_10023915,transcript,EKC42693,Crystal protein 
scaffold48,759049,760065,-1,gene,CGI_10023916,transcript,EKC42694,
scaffold48,760929,770155,1,gene,CGI_10023917,transcript,EKC42695,
scaffold48,775257,790659,1,gene,CGI_10023918,transcript,EKC42696,
scaffold48,803201,804269,1,gene,CGI_10023919,transcript,EKC42697,Homeobox protein Nkx-3.2 
scaffold48,810683,825741,1,gene,CGI_10023920,transcript,EKC42698,Spermatogenesis-associated protein 18-like protein 
scaffold48,831080,835306,1,gene,CGI_10023921,transcript,EKC42699,Heat shock 70 kDa protein 12A 
scaffold48,837355,881877,-1,gene,CGI_10023922,transcript,EKC42700,Pleckstrin-like protein domain-containing family A member 2 
C23676,34,2210,1,gene,CGI_10000145,transcript,EKC17830,"Glutamate receptor, ionotropic kainate 2 "
C32276,2612,10129,-1,gene,CGI_10000874,transcript,EKC17418,BEN domain-containing protein 3 
C32276,10430,10888,1,gene,CGI_10000875,transcript,EKC17419,
scaffold38136,30344,37604,1,gene,CGI_10002634,transcript,EKC22213,
scaffold38136,52420,52641,-1,gene,CGI_10002635,transcript,EKC22214,
scaffold43296,875,11134,1,gene,CGI_10009736,transcript,EKC19083,
scaffold43296,15247,16430,1,gene,CGI_10009738,transcript,EKC19084,
scaffold43296,18121,19624,-1,gene,CGI_10009739,transcript,EKC19085,
scaffold43296,24021,29649,-1,gene,CGI_10009740,transcript,EKC19086,Inhibin beta A chain 
scaffold43296,46675,58514,1,gene,CGI_10009741,transcript,EKC19087,
scaffold43296,68525,74381,-1,gene,CGI_10009742,transcript,EKC19088,Ankyrin repeat domain-containing protein 17 
scaffold43296,94377,121610,-1,gene,CGI_10009743,transcript,EKC19089,
scaffold43296,122674,123003,-1,gene,CGI_10009744,transcript,EKC19090,
scaffold43296,147551,168700,1,gene,CGI_10009745,transcript,EKC19091,Parathyroid hormone/parathyroid hormone-related peptide receptor 
scaffold43296,205924,218305,-1,gene,CGI_10009746,transcript,EKC19092,
scaffold1692,6559,7005,-1,gene,CGI_10004024,transcript,EKC25532,
scaffold1692,40202,58829,1,gene,CGI_10004025,transcript,EKC25533,Deleted in malignant brain tumors 1 protein 
scaffold1692,71657,73321,1,gene,CGI_10004027,transcript,EKC25534,Epithelial-stromal interaction protein 1 
scaffold39958,9439,15343,1,gene,CGI_10003716,transcript,EKC21582,Amiloride-sensitive cation channel 4 
scaffold39958,19084,25413,1,gene,CGI_10003717,transcript,EKC21583,Amiloride-sensitive cation channel 4 
scaffold39958,50431,66155,1,gene,CGI_10003718,transcript,EKC21584,Tyrosine-protein kinase receptor Tie-2 
scaffold43208,2180,18136,-1,gene,CGI_10009353,transcript,EKC19183,
scaffold43208,19617,46159,-1,gene,CGI_10009354,transcript,EKC19184,Inositol polyphosphate 1-phosphatase 
scaffold43208,50350,58470,1,gene,CGI_10009355,transcript,EKC19185,Cell division cycle 2-related protein kinase 7 
scaffold43208,89931,91538,1,gene,CGI_10009356,transcript,EKC19186,
scaffold43208,95225,97400,1,gene,CGI_10009357,transcript,EKC19187,
scaffold43208,124106,156003,1,gene,CGI_10009358,transcript,EKC19188,
scaffold43208,209673,228717,1,gene,CGI_10009359,transcript,EKC19189,
scaffold27582,2623,4719,1,gene,CGI_10000371,transcript,EKC23118,Mitogen-activated protein kinase kinase kinase kinase 3 
scaffold40396,2119,27704,-1,gene,CGI_10004066,transcript,EKC21334,Latrophilin-3 
scaffold40396,29297,32814,-1,gene,CGI_10004067,transcript,EKC21335,2'-5'-oligoadenylate synthetase 3 
scaffold40396,36879,57112,1,gene,CGI_10004068,transcript,EKC21336,
C31410,1577,7454,-1,gene,CGI_10000745,transcript,EKC17477,D-aspartate oxidase 
scaffold1824,17275,17823,-1,gene,CGI_10004551,transcript,EKC24210,Tripartite motif-containing protein 2 
